city_id,empirical_cluster,output_decomp_centered_estimated_cluster,output_decomp_centered_profile_corr,output_decomp_no_center_estimated_cluster,output_decomp_no_center_profile_corr,series_index
0,0,2,0.6528129848919824,0,0.39486899640193673,50
0,0,2,0.6075369339715206,0,0.24638209809489214,51
0,0,2,0.61704279869495,1,0.14802386285539634,52
0,0,1,0.3731336303559404,1,0.18909402247921148,53
0,0,3,0.1763257780919273,1,0.09709900027942872,54
0,0,1,0.3393841711027562,1,0.2598274558824856,55
0,2,3,0.1658340979698579,0,0.3308034583800125,56
0,1,3,-0.588386291122811,1,0.5926175691601171,57
0,0,3,0.21259372795192516,1,0.4129468338201161,58
0,2,1,-0.018699997465127488,1,0.06405137881832218,59
0,2,2,0.2451958984419283,3,0.6633243377468783,60
0,0,1,0.37338560896948303,0,0.5111632011838536,61
0,0,0,0.3761678220839434,0,0.5723835312799094,62
0,2,1,0.013513145394124546,1,0.2560654471448052,63
0,0,2,0.5069413192413583,1,0.1964164956433485,64
0,2,1,0.05114404921239747,1,0.4816062323341659,65
0,2,3,-0.1422023511641674,2,0.4609769798932555,66
0,2,3,0.1955215147242963,2,0.5681255485206678,67
0,2,3,0.1699779126782426,3,0.8365688474206523,68
0,0,3,0.22962246459214317,1,0.08269380110201274,69
0,2,1,0.1863170574748198,0,0.5956829574010993,70
0,0,1,0.3692711565711336,0,0.4955080140895006,71
0,1,2,0.14424814428745059,1,0.6603395618997947,72
0,0,0,0.10661938300227075,2,0.6385294595443916,73
0,2,2,0.5294723424146663,3,0.940439716875928,74
0,2,0,0.22458189338603032,2,0.6449879751979923,75
0,0,1,0.3509290040392792,0,0.31483574360735045,76
0,3,0,0.5552705925749668,0,0.15947715955207112,77
0,3,3,0.4196522851040123,3,0.5320824233427408,78
0,3,1,0.6790594036223367,0,-0.15191721058696178,79
0,2,0,0.2065404473264772,0,0.435389303516833,80
0,0,0,0.5522260022938925,0,0.2653005895096332,81
0,0,2,0.4936397400594139,0,0.5365003296159472,82
0,2,0,0.2541798370617044,0,0.43293721448359934,83
0,3,3,0.3497308526659916,0,0.136631247325888,84
0,3,0,0.7346652973778647,3,0.3435046101346986,85
0,2,2,0.14132630087321874,0,0.5834702660277636,86
0,0,1,0.24241712423815076,1,0.3166313487576705,87
0,1,1,-0.1757342257622408,0,0.7357647332970549,88
0,2,3,-0.030691958095555083,3,0.8820392390030821,89
0,2,2,0.3887660876552107,3,0.6763067069164246,90
0,0,1,0.503046651596299,1,-0.2059224083723644,91
0,2,0,0.3359907802535859,0,0.7443761834454607,92
